dataset,map4,morgan
B-raf,0.686401503258022,0.7319027124415443
B-raf,0.7122755704213677,0.7277692997775821
B-raf,0.6796542229586737,0.7585865031447785
B-raf,0.6986001787853882,0.750468633046596
B-raf,0.6883820412053998,0.727569290447865
B-raf,0.6890823662299449,0.7529551975009625
B-raf,0.6966907099889637,0.7709901990412521
B-raf,0.7008918970173814,0.7035438659558709
B-raf,0.7034094377724862,0.7796644084894103
B-raf,0.715071733734699,0.7610458694437116
Caspase,0.7892299383127162,0.8073228685265121
Caspase,0.8172418280403013,0.8249619043270858
Caspase,0.8311464721566924,0.8042050584139049
Caspase,0.7666757706610579,0.8162797404480929
Caspase,0.7880821525603181,0.8256353456717107
Caspase,0.8329416414166089,0.8297586813631909
Caspase,0.8018845213954915,0.8274377898171366
Caspase,0.790864758252292,0.8106655196026927
Caspase,0.7638849272031921,0.7770078081680565
Caspase,0.7897163273426269,0.827450214589736
Monoamine,0.4419491101238845,0.5911314084833946
Monoamine,0.4151954989859423,0.57228229434294
Monoamine,0.4493636900381226,0.5702643859191694
Monoamine,0.45424595457481,0.4798401605637371
Monoamine,0.4024431931902407,0.5988924939402509
Monoamine,0.5102827715163613,0.5874815579543451
Monoamine,0.5217806423573162,0.6164279143254764
Monoamine,0.453900651365685,0.5597956590817067
Monoamine,0.412374124483312,0.6177416866600005
Monoamine,0.5606938144854312,0.5855001346512829
Ephrin,0.5136525621380867,0.5912617725959375
Ephrin,0.44700727356081416,0.5679284418929981
Ephrin,0.5287068348394293,0.5903161284030801
Ephrin,0.512666000941304,0.6010624956392168
Ephrin,0.4709010599615498,0.6222303317245619
Ephrin,0.4476969225953927,0.6024974783389667
Ephrin,0.5262429384151526,0.6073575999364793
Ephrin,0.4965724163823622,0.5970225306002981
Ephrin,0.4885632119722063,0.6207024102584098
Ephrin,0.4771937328879766,0.5673067968402038
Acetylcholinesterase,0.6159371658635578,0.7290768837275439
Acetylcholinesterase,0.631771159490111,0.6738941538673586
Acetylcholinesterase,0.6304117881866398,0.6929144833330114
Acetylcholinesterase,0.6475068269179833,0.7160465377094201
Acetylcholinesterase,0.6081210412761078,0.6831605745568966
Acetylcholinesterase,0.5980151555804942,0.6412208841019844
Acetylcholinesterase,0.5773515363190922,0.6833449741518094
Acetylcholinesterase,0.582735191011174,0.6644684678336641
Acetylcholinesterase,0.5995208510530212,0.6818781277757935
Acetylcholinesterase,0.5986882997596861,0.6910016827753714
Vanilloid,0.2393044331093861,0.4095447304553609
Vanilloid,0.3489699089849272,0.4395738643138527
